FName(String),LName(String),Gender(String),AreaCode(String),Phone(String),City(String),State(String),Zip(String),MaritalStatus(String),HasChild(String),Salary(Integer),Rate(Double),SingleExemp(String),MarriedExemp(String),ChildExemp(String)
Schuyler,Suri,F,503,1000016,STANFIELD,OR,97875,M,Y,73500,9.0,0,318,159
Guozhong,Jacobsson,M,757,1000006,ARLINGTON,VA,22244,M,N,42500,5.75,0,1800,0
Reima,Balazs,F,620,1000012,VIOLA,KS,67149,S,Y,22000,4.8766665,2250,0,2250
Seinosuke,VanHilst,M,301,1000006,BALTIMORE,MD,21214,S,Y,31000,4.75,2400,0,2400
Vlad,Arimoto,F,240,1000006,BUSHWOOD,MD,20618,M,N,93500,4.75,0,4800,0
Kimon,Maciel,M,316,1000011,MILFORD,KS,66514,M,N,27500,5.958333,0,4500,0
Chengjiang,Regier,M,202,1000041,WASHINGTON,DC,20204,S,Y,27500,8.4375,1370,0,1370
Mariangiola,Chi,M,856,1000008,EAST RUTHERFORD,NJ,7073,S,Y,95000,2.5828125,1000,0,1500
Channing,Mahnke,M,318,1000008,BAKER,LA,70714,S,Y,32000,6.0,4500,0,1000
Tadashi,Rosencrans,M,808,1000049,LAWAI,HI,96765,S,Y,65000,8.25,1040,0,1040
Noach,Dondina,M,801,1000015,SALT LAKE CITY,UT,84103,S,N,50500,7.0,2475,0,0
Cara,Cosmadopoulos,M,765,1000009,WARSAW,IN,46581,M,N,73500,3.4,0,2000,0
Mattias,Pelechano,M,701,1000035,YPSILANTI,ND,58497,S,N,52000,2.3585072,3300,0,0
Yahia,DasSarma,F,810,1000005,SAINT IGNACE,MI,49781,S,Y,77500,3.9,3100,0,3100
Yonghoan,Merges,M,414,1000010,CAZENOVIA,WI,53924,M,N,77000,5.7842894,0,1400,0
Tomomasa,Lichnewsky,F,405,1000013,HARDESTY,OK,73944,M,N,24500,6.25,0,2000,0
Kanti,Groette,M,339,1000003,BILLERICA,MA,1821,M,N,58500,5.3,0,7150,0
Kimmo,Blodorn,F,305,1000005,SATSUMA,FL,32189,S,N,65000,0.0,0,0,0
Augustus,Handreke,M,845,1000000,ALBANY,NY,12206,M,N,54000,4.2664633,0,0,0
Ramsey,Dunzinger,M,715,1000012,HEAFFORD JUNCTION,WI,54532,M,N,9500,4.6114674,0,1400,0
Yoav,Raebel,F,701,1000036,MAPLETON,ND,58059,M,N,81500,2.7004786,0,6600,0
Tatsuhiro,Stenstrom,F,304,1000036,CHARLESTON,WV,25358,S,Y,73000,6.5,2000,0,2000
Rajanarayanan,Stroud,F,302,1000065,FRANKFORD,DE,19945,M,N,8500,2.4386363,0,220,0
Lang,Skafidas,F,406,1000054,ARLEE,MT,59821,M,N,20000,6.9,0,3800,0
Jue,Molenkamp,F,641,1000014,SIOUX CITY,IA,51105,M,N,78500,8.98,0,80,0
Sangman,Vinck,F,918,1000012,MULHALL,OK,73063,S,N,39000,6.25,1000,0,0
Ilan,Kharatishvili,M,319,1000009,PROTIVIN,IA,52163,S,Y,5500,1.013173,40,0,40
Aloysius,Strassen,F,563,1000007,LEIGHTON,IA,50143,M,N,92000,8.98,0,80,0
Cindy,Munoz,F,828,1000005,PINEOLA,NC,28662,M,Y,97000,7.7674828,0,6600,3300
Alin,Poletto,M,443,1000006,LINEBORO,MD,21088,S,Y,11500,4.75,2400,0,2400
Marios,Gehringer,F,502,1000010,WEST VAN LEAR,KY,41268,S,Y,29500,3.4722223,20,0,20
Matthhew,MacLeod,M,208,1000044,IDAHO FALLS,ID,83406,S,Y,4000,2.406474,3300,0,3300
Yuhichi,Grunupp,M,435,1000020,LAKE POWELL,UT,84533,S,Y,76500,7.0,2475,0,2475
Frederich,Koshino,M,715,1000013,WARRENS,WI,54666,M,N,79000,5.81904,0,1400,0
Jingsen,Bill,F,614,1000005,LUDLOW FALLS,OH,45339,M,N,96000,3.7327332,0,2600,0
Jerre,Binding,F,970,1000017,BOULDER,CO,80303,S,Y,47500,4.63,0,0,0
Martyne,Lunbeck,M,225,1000012,CECILIA,LA,70521,S,N,38500,6.0,4500,0,0
Boutros,Piette,F,947,1000009,DETROIT,MI,48255,M,N,26000,3.9,0,6200,0
Taizo,Bregler,F,208,1000045,LAVA HOT SPRINGS,ID,83246,S,Y,27000,7.8,3300,0,3300
Hidemi,Linzer,F,218,1000008,REMER,MN,56672,M,N,51500,7.003682,0,6600,0
Yingsha,Mazenc,F,970,1000018,GROVER,CO,80729,S,Y,64000,4.63,0,0,0
Ravinder,Dondis,F,406,1000055,FOREST GROVE,MT,59441,S,Y,43000,6.9,1900,0,1900
Guisseppi,Marzurkiewicz,F,520,1000006,MESA,AZ,85201,M,Y,15000,2.9475,0,4200,2300
Gagan,Honiden,F,228,1000013,OXFORD,MS,38655,S,Y,9000,4.6,6000,0,1500
Hichul,Tontiwachwuthikul,F,260,1000005,SCIPIO,IN,47273,S,Y,98000,3.4,1000,0,1000
Janche,Laville,M,617,1000007,ADAMS,MA,1220,S,N,8000,5.3,3575,0,0
Manlio,Toussaint,M,907,1000047,NIKOLSKI,AK,99638,M,N,13000,0.0,0,0,0
Stefaan,Andrade,M,307,1000049,FRANNIE,WY,82423,M,N,41000,0.0,0,0,0
Natasa,Serlin,M,907,1000048,WALES,AK,99783,S,Y,39000,0.0,0,0,0
Zoe,Payton,F,678,1000011,LILBURN,GA,30048,M,N,26000,6.0,0,5400,0
Wijnand,Milosevic,F,361,1000002,FORT WORTH,TX,76137,S,N,93500,0.0,0,0,0
Nadjiba,Regier,F,760,1000000,BURBANK,CA,91521,S,Y,53500,9.3,87,0,272
Boualem,Koshino,F,847,1000002,ALTONA,IL,61414,S,Y,69500,3.0,2000,0,2000
Haiseung,Wiil,M,401,1000041,BRADFORD,RI,2808,M,Y,99000,0.0,0,0,0
Tadakazu,Malaiya,M,704,1000007,KERNERSVILLE,NC,27285,M,N,13500,6.015734,0,6600,0
Williaam,Nisonger,M,207,1000045,OAKFIELD,ME,4763,S,Y,20500,8.5,2850,0,2850
Ruairi,Bofill,M,769,1000014,BIG CREEK,MS,38914,M,N,50500,5.0,0,12000,0
Madanpal,Isman,M,240,1000007,GIBSON ISLAND,MD,21056,S,Y,70500,4.75,2400,0,2400
Yuiko,Laitinen,F,605,1000038,OLDHAM,SD,57051,M,N,2000,0.0,0,0,0
Geraldine,Pavani,M,513,1000004,CREOLA,OH,45622,M,N,7500,0.7949872,0,2600,0
Dashing,Koivo,M,702,1000029,LAS VEGAS,NV,89170,M,N,99000,0.0,0,0,0
Chaitanya,Koppol,F,646,1000002,CHASE MILLS,NY,13621,S,N,43500,4.2056403,0,0,0
Patrenahalli,Lurvey,F,270,1000013,BONNYMAN,KY,41719,M,N,11000,2.4444444,0,40,0
Sonya,Penttonen,F,213,1000001,CITRUS HEIGHTS,CA,95610,M,N,96000,9.3,0,174,0
Fedor,Sallet,M,973,1000001,TUCKAHOE,NJ,8250,S,N,74500,2.2595105,1000,0,0
Clit,McDougal,F,406,1000056,BAINVILLE,MT,59212,S,Y,74000,6.9,1900,0,1900
Andreas,Carlstrom,F,406,1000057,DAYTON,MT,59914,S,Y,88000,6.9,1900,0,1900
Jianwen,Pidd,M,787,1000023,SAN JUAN,PR,914,S,N,6000,0.0,0,0,0
Elliott,Binkley,F,251,1000014,FLORENCE,AL,35632,M,N,48000,5.0,0,3000,0
Liao,Madeira,F,401,1000042,PRUDENCE ISLAND,RI,2872,M,N,43500,0.0,0,0,0
Kacem,Poulsen,F,401,1000043,FORESTDALE,RI,2824,M,N,83500,0.0,0,0,0
Piraye,Chelegatski,F,719,1000010,CORY,CO,81414,S,Y,48000,4.63,0,0,0
Hafedh,Punnen,F,787,1000024,JUNCOS,PR,777,M,N,77000,0.0,0,0,0
Yukinori,Laohapipattana,M,406,1000058,HOT SPRINGS,MT,59845,S,Y,93500,6.9,1900,0,1900
Neophytos,Kliger,M,870,1000014,WINTHROP,AR,71866,S,Y,15500,3.892554,20,0,20
Leysia,Boigelot,M,316,1000012,KANSAS CITY,KS,66101,S,Y,98000,6.45,2250,0,2250
Shuang,Rosay,F,512,1000000,ARGYLE,TX,76226,M,N,17500,0.0,0,0,0
Werther,Carlstrom,F,914,1000002,JAMAICA,NY,11405,S,Y,18500,4.060823,0,0,1000
Meiliu,Kraiman,M,414,1000011,ELROY,WI,53929,S,Y,77500,5.7929773,700,0,400
Hjalmtyr,Rhyne,F,251,1000015,EMELLE,AL,35459,S,Y,93000,5.0,1500,0,300
Shimon,Greenberger,M,276,1000007,STANLEYTOWN,VA,24168,M,N,48500,5.75,0,1800,0
Satyamurthy,Goldsworthy,F,562,1000010,BELL,CA,90202,M,N,53500,9.3,0,174,0
Zhanqiu,Rosenblum,M,620,1000013,TOPEKA,KS,66610,S,Y,36500,6.45,2250,0,2250
Tomohito,Gerlhof,M,970,1000019,DOVE CREEK,CO,81324,S,Y,39000,4.63,0,0,0
Bevin,Bengtsson,F,218,1000009,HUMBOLDT,MN,56731,S,N,95500,7.85,3300,0,0
Xia,Dechter,F,307,1000050,CHEYENNE,WY,82002,M,N,50500,0.0,0,0,0
Tilak,Hirshfeld,F,405,1000014,CYRIL,OK,73029,S,Y,29000,6.25,1000,0,1000
Teik,Kuwabara,M,208,1000046,FRUITLAND,ID,83619,M,N,50000,7.8,0,6600,0
Pok,Vasanthakumar,M,615,1000005,STRAWBERRY PLAINS,TN,37871,M,N,63000,0.0,0,0,0
Joji,Feuerman,F,802,1000046,NORTH FERRISBURGH,VT,5473,M,N,7000,3.6,0,6600,0
Yao,Solares,M,541,1000012,BEAVERTON,OR,97078,M,N,39500,9.0,0,318,0
Soojung,Huberman,M,208,1000047,ROBERTS,ID,83444,M,N,53500,7.8,0,6600,0
Antoni,Bridges,M,908,1000003,VINELAND,NJ,8362,S,Y,69000,2.1727707,1000,0,1500
Kamila,Plumer,M,425,1000011,YACOLT,WA,98675,M,N,90500,0.0,0,0,0
Wee,Welsch,M,541,1000013,OTTER ROCK,OR,97369,M,N,7000,9.0,0,318,0
Reinhold,Mackie,F,585,1000008,ELKA PARK,NY,12427,M,N,35500,4.159299,0,0,0
Kazuhide,Inza,F,801,1000016,WEST JORDAN,UT,84088,S,Y,29000,7.0,2475,0,2475
Kilnam,Drach,F,401,1000044,NORTH KINGSTOWN,RI,2852,M,N,6500,0.0,0,0,0
Kamar,Carrico,M,501,1000017,LITTLE ROCK,AR,72201,S,Y,60000,7.0,20,0,20
Ramanathan,Hirowatar,F,406,1000059,LAKESIDE,MT,59922,M,N,85000,6.9,0,3800,0
Mauricio,Zervos,M,603,1000050,BELMONT,NH,3220,M,N,17500,0.0,0,0,0
Cen,Mackaness,M,302,1000066,NEWARK,DE,19715,S,Y,71500,5.95,110,0,110
Sheryl,Fraysseix,M,843,1000018,CHARLESTON,SC,29492,M,N,51500,7.0,0,6600,0
Qing,Dimitriev,F,541,1000014,ESTACADA,OR,97023,M,N,81500,9.0,0,318,0
Yoshinari,Corbi,M,620,1000014,ARMA,KS,66712,S,Y,43000,6.45,2250,0,2250
Shai,Glew,M,253,1000005,RAYMOND,WA,98577,M,N,77000,0.0,0,0,0
Giampaolo,Rando,F,307,1000051,BOSLER,WY,82051,S,Y,57000,0.0,0,0,0
Bozhidar,Stentiford,M,918,1000013,TALALA,OK,74080,S,Y,23000,6.25,1000,0,1000
Rajaram,Skeen,M,913,1000010,ELK FALLS,KS,67345,S,Y,6000,3.5,2250,0,2250
Raz,Grabau,F,402,1000026,HUMBOLDT,NE,68376,S,Y,25000,6.5736103,103,0,103
Ahmet,Fergany,F,860,1000024,WATERBURY,CT,6706,S,N,66500,5.0,12750,0,0
Irit,Amarel,M,360,1000006,GOLDENDALE,WA,98620,S,Y,57000,0.0,0,0,0
Ransom,Gorski,M,907,1000049,ALEKNAGIK,AK,99555,S,Y,17000,0.0,0,0,0
Rinat,Vigna,M,520,1000007,PHOENIX,AZ,85080,S,Y,80000,3.955,2100,0,2300
Alistair,Abadi,M,608,1000007,JANESVILLE,WI,53547,M,N,24500,4.8720946,0,1400,0
Borje,Fontaine,M,337,1000013,BELLE CHASSE,LA,70037,M,N,94000,6.0,0,9000,0
Xing,Flaus,M,605,1000039,LENNOX,SD,57039,S,Y,27500,0.0,0,0,0
Engelbert,Plainfosse,M,559,1000007,IRVINE,CA,92603,M,N,60000,9.3,0,174,0
Valdiodio,Kleinholz,M,701,1000037,WISHEK,ND,58495,M,N,68500,2.5497792,0,6600,0
Maiko,Pittarelli,F,719,1000011,SALIDA,CO,81201,S,Y,43500,4.63,0,0,0
Zhongwei,Stessman,M,413,1000004,HAVERHILL,MA,1830,M,N,93000,5.3,0,7150,0
Ghulam,Ballim,M,620,1000015,MONTEZUMA,KS,67867,S,Y,39500,6.45,2250,0,2250
Xinan,Thagard,F,509,1000009,CHENEY,WA,99004,S,Y,36500,0.0,0,0,0
Yoelle,Yijun,M,704,1000008,YOUNGSVILLE,NC,27596,S,Y,78000,7.368881,3300,0,3300
Meiyappan,Ihrig,F,240,1000008,MONTGOMERY VILLAGE,MD,20886,S,N,94500,4.75,2400,0,0
Maarten,Ruhle,M,940,1000000,OAKWOOD,TX,75855,M,N,54500,0.0,0,0,0
Katsuto,Sindoni,M,208,1000048,ASHTON,ID,83420,M,N,8000,3.5419533,0,6600,0
Bertin,Barthes,M,443,1000007,SHOWELL,MD,21862,S,Y,83000,4.75,2400,0,2400
Maya,Reddi,M,207,1000046,WINDSOR,ME,4363,M,Y,65500,8.5,0,5700,2850
Winfield,Beukering,M,270,1000014,HUDDY,KY,41535,M,N,34500,3.75,0,40,0
Phyllis,Sobieski,M,939,1000029,SAN ANTONIO,PR,690,M,N,81500,0.0,0,0,0
Kow,Emery,F,207,1000047,MANCHESTER,ME,4351,M,N,23000,8.5,0,5700,0
Francois,Suwanda,F,580,1000018,GOULD,OK,73544,S,Y,78500,6.25,1000,0,1000
Goli,Bazelow,F,402,1000027,EDDYVILLE,NE,68834,M,N,43500,6.84,0,206,0
Carleton,Tomii,M,214,1000000,TILDEN,TX,78072,S,Y,77500,0.0,0,0,0
Sadegh,Urbano,F,410,1000013,MONTGOMERY VILLAGE,MD,20886,S,Y,65000,4.75,2400,0,2400
Wasfi,Andaleon,M,907,1000050,SHAGELUK,AK,99665,S,Y,40000,0.0,0,0,0
Khodi,Suorsa,F,202,1000042,WASHINGTON,DC,20435,S,Y,9500,4.5,1370,0,1370
Aantony,Kaes,M,207,1000048,RAYMOND,ME,4071,S,Y,76000,8.5,2850,0,2850
Toniann,Gori,F,786,1000003,TAMPA,FL,33633,M,N,20000,0.0,0,0,0
Peikun,Ittner,F,913,1000011,NETAWAKA,KS,66516,M,N,28500,6.1549997,0,4500,0
Sibabrata,Vershinin,F,207,1000049,ABBOT,ME,4406,M,N,29500,8.5,0,5700,0
Jehoshua,Aigrain,M,605,1000040,SIOUX FALLS,SD,57110,S,Y,11000,0.0,0,0,0
Myla,Mikulecky,F,202,1000043,WASHINGTON,DC,20043,M,N,85500,9.0,0,2740,0
Kiyonori,Yoshii,F,267,1000005,BUTLER,PA,16001,M,N,37000,3.07,0,0,0
Parimala,Gulla,M,435,1000021,ALTONAH,UT,84002,S,Y,99000,7.0,2475,0,2475
Donko,Kartha,F,701,1000038,GRAND FORKS,ND,58201,M,N,28000,2.1,0,6600,0
Begona,Majster,M,787,1000025,GUAYAMA,PR,785,M,N,45500,0.0,0,0,0
Rajaram,Woycyznski,M,413,1000005,CHESTERFIELD,MA,1012,M,N,53000,5.3,0,7150,0
Kazem,Lapez,F,217,1000003,ELIZABETHTOWN,IL,62931,M,N,78000,3.0,0,4000,0
Luciano,Merel,M,302,1000067,LEWES,DE,19958,S,Y,63000,5.95,110,0,110
Prentiss,Ananiadou,M,918,1000014,OKLAHOMA CITY,OK,73140,M,N,12000,6.25,0,2000,0
Karlheinz,Fiutem,F,785,1000013,WINDOM,KS,67491,S,Y,92500,6.45,2250,0,2250
Achille,Emery,M,316,1000013,LANSING,KS,66043,M,N,34000,6.45,0,4500,0
Masayo,Goes,F,307,1000052,FORT LARAMIE,WY,82212,S,Y,12000,0.0,0,0,0
Amalia,Schamber,M,603,1000051,WEST SWANZEY,NH,3469,S,Y,21500,0.0,0,0,0
Narayana,Canet,M,607,1000004,ALFRED,NY,14802,M,Y,33000,4.144817,0,0,1000
Allessandro,Eck,F,252,1000005,RALEIGH,NC,27634,M,N,58000,6.949301,0,6600,0
Kuriacose,Coyne,M,406,1000060,WOLF POINT,MT,59201,S,Y,17000,6.9,1900,0,1900
Joosun,Deter,M,425,1000012,EASTSOUND,WA,98245,M,N,82000,0.0,0,0,0
Saroja,Aimeur,F,601,1000012,DREW,MS,38737,M,N,81000,5.0,0,12000,0
Rangasam,Journel,F,901,1000007,MAURY CITY,TN,38050,M,N,18000,0.0,0,0,0
Ping,Yagi,M,731,1000012,CHATTANOOGA,TN,37401,M,Y,60500,0.0,0,0,0
Neel,Manacher,F,603,1000052,EAST WAKEFIELD,NH,3830,M,N,61500,0.0,0,0,0
Morten,Fussichen,F,351,1000004,WILLIAMSTOWN,MA,1267,M,N,86000,5.3,0,7150,0
Yutai,Aretz,F,918,1000015,WAKITA,OK,73771,S,Y,42500,6.25,1000,0,1000
Teemu,Touati,M,561,1000004,BOYNTON BEACH,FL,33474,M,Y,14500,0.0,0,0,0
Augusta,Mukaidono,F,252,1000006,CHARLOTTE,NC,28282,S,Y,65000,7.0961537,3300,0,3300
Chiuyuan,Hodel,F,870,1000015,NORTH LITTLE ROCK,AR,72190,M,N,82000,7.0,0,40,0
Tuval,Rubinfield,F,803,1000019,JOHNSTON,SC,29832,M,N,14000,7.0,0,6600,0
Alexis,Tvrdik,F,308,1000020,TRYON,NE,69167,S,N,95000,6.84,103,0,0
Shujian,Gooday,M,320,1000008,YOUNG AMERICA,MN,55552,M,N,19000,5.35,0,6600,0
Latha,Brodman,M,716,1000001,PORT WASHINGTON,NY,11054,M,N,66500,4.338872,0,0,0
Richard,Rahmstorf,F,856,1000009,OAKLAND,NJ,7436,S,Y,42500,1.7548437,1000,0,1500
Lev,Minoura,F,614,1000006,NORTH CANTON,OH,44720,S,Y,50000,2.2057693,1300,0,1300
Dale,Spinrad,F,224,1000002,SECOR,IL,61771,M,N,66500,3.0,0,4000,0
Gunvant,Weinand,F,505,1000040,CLIFF,NM,88028,S,Y,49000,5.3,3300,0,3300
Dilian,Hochsprung,F,302,1000068,FREDERICA,DE,19946,M,N,13000,2.7454545,0,220,0
Izidor,Marotta,M,402,1000028,HASTINGS,NE,68901,S,Y,88500,6.84,103,0,103
Efstathios,Tolun,F,720,1000014,EATON,CO,80615,M,Y,5000,4.63,0,0,0
Tetsuji,Gutta,F,203,1000025,STAFFORD SPRINGS,CT,6076,M,N,38500,5.0,0,24500,0
Qingshan,Pesant,F,702,1000030,INDIAN SPRINGS,NV,89070,M,N,38000,0.0,0,0,0
Gianni,Kochskamper,M,308,1000021,WACO,NE,68460,M,N,54500,6.84,0,206,0
Taghi,Conheeney,M,702,1000031,CARSON CITY,NV,89703,M,N,76000,0.0,0,0,0
Dileep,Ciarlo,M,870,1000016,OZAN,AR,71855,M,N,11500,2.9364169,0,40,0
Gabriele,Herlihy,M,509,1000010,MOXEE,WA,98936,S,Y,8500,0.0,0,0,0
Ismaeil,Mobasher,M,754,1000003,SAINT JAMES CITY,FL,33956,S,Y,11500,0.0,0,0,0
Qiang,Aba,F,520,1000008,SACATON,AZ,85247,M,N,7000,2.87,0,4200,0
Bosco,Rivett,F,928,1000016,YUMA,AZ,85365,S,Y,23500,3.0792499,2100,0,2300
Perry,Stauduhar,M,325,1000001,LUBBOCK,TX,79491,M,N,88500,0.0,0,0,0
Seungjoon,Duspohl,M,620,1000016,HOME,KS,66438,S,Y,47500,6.45,2250,0,2250
Gurjeet,Junger,M,802,1000047,CAMBRIDGE,VT,5444,M,N,11500,3.6,0,6600,0
Hirano,Rutman,F,307,1000053,WAPITI,WY,82450,S,Y,48000,0.0,0,0,0
IEEE,Heinzelmann,M,208,1000049,MERIDIAN,ID,83646,S,Y,64500,7.8,3300,0,3300
Richardo,Dussa,F,203,1000026,CHESHIRE,CT,6411,S,Y,26500,5.0,12750,0,0
Harmen,Haldar,F,706,1000007,SUWANEE,GA,30024,S,Y,8500,6.0,2700,0,3000
Baoling,Miyadera,M,207,1000050,SEDGWICK,ME,4676,S,Y,46500,8.5,2850,0,2850
Karama,Vuskovic,M,504,1000011,PLAUCHEVILLE,LA,71362,M,N,87000,6.0,0,9000,0
Nitsan,Choon,M,701,1000039,HORACE,ND,58047,S,Y,76500,2.642517,3300,0,3300
Jud,Yuval,M,740,1000003,LAGRANGE,OH,44050,M,N,85500,3.3841872,0,2600,0
Calum,Narahari,F,769,1000015,JACKSON,MS,39236,S,Y,41500,5.0,6000,0,1500
Severin,Piricka,M,402,1000029,KEARNEY,NE,68848,M,N,13500,4.5312862,0,206,0
Souji,Bitter,M,351,1000005,MENEMSHA,MA,2552,M,N,28000,5.3,0,7150,0
Maribeth,Whale,M,401,1000045,ROCKVILLE,RI,2873,S,Y,27000,0.0,0,0,0
Pierdaniele,Shimono,F,802,1000048,SAINT ALBANS,VT,5479,M,N,51500,4.029742,0,6600,0
Seymour,Cappi,F,641,1000015,RICKETTS,IA,51460,M,N,6500,1.1675509,0,80,0
Kiyonori,Wood,F,817,1000003,AUSTIN,TX,78752,S,Y,14000,0.0,0,0,0
Pyeong,Thomson,F,480,1000012,RIO VERDE,AZ,85263,S,Y,65500,3.73025,2100,0,2300
Jaturon,Luthar,F,907,1000051,ANCHORAGE,AK,99516,M,N,58000,0.0,0,0,0
Michiharu,Schiller,F,678,1000012,ROCKLEDGE,GA,30454,M,N,46500,6.0,0,5400,0
Rajkumar,Anick,F,507,1000005,YOUNG AMERICA,MN,55564,M,N,20500,5.35,0,6600,0
Insung,Selenyi,F,985,1000006,WESTWEGO,LA,70096,M,N,81500,6.0,0,9000,0
Madhav,Pettersson,F,410,1000014,EARLEVILLE,MD,21919,S,Y,71000,4.75,2400,0,2400
Rama,Selberg,M,610,1000006,ALLENTOWN,PA,18195,M,N,72500,3.07,0,0,0
Mehrdad,Bravoco,M,410,1000015,SPENCERVILLE,MD,20868,M,N,81500,4.75,0,4800,0
Sverrir,McEneaney,M,724,1000003,PINE GROVE MILLS,PA,16868,S,Y,48000,3.07,0,0,0
Jea,Usery,M,559,1000008,SAN GABRIEL,CA,91775,M,N,67500,9.3,0,174,0
Sixto,Terwilliger,M,912,1000004,NICHOLSON,GA,30565,S,Y,90500,6.0,2700,0,3000
Daria,Chachaty,F,256,1000009,GRANT,AL,35747,M,N,59000,5.0,0,3000,0
Nese,Suwa,F,505,1000041,BLUEWATER,NM,87005,S,N,47500,5.3,3300,0,0
Tmima,Babad,M,786,1000004,BASCOM,FL,32423,S,Y,55000,0.0,0,0,0
Jang,Leela,F,802,1000049,PROCTOR,VT,5765,M,N,42000,3.840735,0,6600,0
Poorani,Lomnicki,F,702,1000032,RENO,NV,89519,S,Y,40000,0.0,0,0,0
Florimond,Barthelemy,M,706,1000008,AUGUSTA,GA,30912,S,Y,91500,6.0,2700,0,3000
Brajendra,Antoy,M,307,1000054,CHEYENNE,WY,82003,S,Y,90000,0.0,0,0,0
Mikiko,Piancastelli,F,856,1000010,EAST BRUNSWICK,NJ,8816,S,Y,35500,1.6444479,1000,0,1500
Gavin,Padhye,M,814,1000004,MORTON,PA,19070,M,N,24500,3.07,0,0,0
Doru,Kale,F,251,1000016,CALVERT,AL,36513,M,N,97500,5.0,0,3000,0
Joann,Razavi,F,304,1000037,CUCUMBER,WV,24826,M,N,8500,3.0,0,4000,0
Avishai,Moorman,F,304,1000038,HANOVER,WV,24839,M,N,51000,5.87,0,4000,0
Bruno,Betz,M,802,1000050,SHOREHAM,VT,5770,S,N,81500,4.626606,3300,0,0
Esmond,Baz,F,908,1000004,RIDGEFIELD,NJ,7657,M,N,45000,1.7942708,0,2000,0
Barradas,Sancho,M,443,1000008,CHELTENHAM,MD,20623,M,N,24500,4.75,0,4800,0
Yevgeniy,Bittan,M,704,1000009,CHARLOTTE,NC,28299,M,N,30500,6.3723774,0,6600,0
WonGye,Schonegge,F,701,1000040,OAKES,ND,58474,M,N,45500,2.2831573,0,6600,0
Jooseok,Biron,M,207,1000051,PALERMO,ME,4354,S,Y,70500,8.5,2850,0,2850
Ludek,Keay,M,701,1000041,BREMEN,ND,58319,S,N,23500,2.1,3300,0,0
Tomonari,Nunn,F,785,1000014,NEOSHO RAPIDS,KS,66864,M,N,94000,6.45,0,4500,0
Harpal,Windisch,M,256,1000010,JEFFERSON,AL,36745,S,Y,24000,5.0,1500,0,300
Egil,Libkin,F,865,1000008,AUBURNTOWN,TN,37016,M,N,73000,0.0,0,0,0
Leif,Butcher,M,907,1000052,PALMER,AK,99645,S,Y,90500,0.0,0,0,0
Randy,Boehm,M,662,1000015,SARAH,MS,38665,M,N,61000,5.0,0,12000,0
Bodh,Fendler,M,308,1000022,WALTHILL,NE,68067,M,N,11000,4.087303,0,206,0
Benno,Cooperband,M,719,1000012,RAND,CO,80473,M,Y,73000,4.63,0,0,0
Cyr,Meitner,M,775,1000016,FALLON,NV,89407,S,Y,41000,0.0,0,0,0
Beat,Boersma,M,505,1000042,CLAUNCH,NM,87011,S,Y,85000,5.3,3300,0,3300
Adam,Zeidenstein,M,218,1000010,CASTLE ROCK,MN,55010,M,N,67000,7.8307896,0,6600,0
Along,Joseloff,M,713,1000002,HAMSHIRE,TX,77622,S,Y,38000,0.0,0,0,0
Kersti,Hagert,M,307,1000055,BURLINGTON,WY,82411,M,N,7500,0.0,0,0,0
Archita,Famili,M,208,1000050,SWANLAKE,ID,83281,M,N,28000,7.8,0,6600,0
Yew,Luck,M,952,1000009,EDGERTON,MN,56128,S,Y,97500,7.85,3300,0,3300
Kazuaki,Sztandera,M,715,1000014,CASSVILLE,WI,53806,M,N,29500,4.9589705,0,1400,0
Simone,Attimonelli,F,318,1000009,NEW ORLEANS,LA,70190,S,N,37500,6.0,4500,0,0
Cathie,Foucaut,M,878,1000002,WATERFALL,PA,16689,S,Y,38000,3.07,0,0,0
Ramakrishnan,Rosenbaum,F,251,1000017,ORANGE BEACH,AL,36561,S,Y,70000,5.0,1500,0,300
Umakanta,Govindjee,F,405,1000015,LOCO,OK,73442,S,Y,96000,6.25,1000,0,1000
Mooi,Krinik,F,559,1000009,ROHNERT PARK,CA,94928,M,N,78500,9.3,0,174,0
Dhamir,Tournassoud,F,505,1000043,CHAPARRAL,NM,88081,M,N,23500,5.3,0,6600,0
Till,Linnemann,M,304,1000039,INDORE,WV,25111,M,N,26000,4.12,0,4000,0
Weicheng,Priol,M,814,1000005,SHERMANS DALE,PA,17090,M,N,33500,3.07,0,0,0
Holger,Vicolov,F,302,1000069,CLAYTON,DE,19938,S,Y,19500,3.1886363,110,0,110
Baruch,Thallinger,F,317,1000007,RAMSEY,IN,47166,S,Y,60000,3.4,1000,0,1000
Yili,Sowerbutts,M,585,1000009,RONKONKOMA,NY,11779,M,Y,63000,4.318598,0,0,1000
Ryutaro,Pinkston,F,406,1000061,WHITLASH,MT,59545,M,Y,49500,6.9,0,3800,1900
Heino,Toint,M,218,1000011,HOPKINS,MN,55305,S,Y,18000,5.35,3300,0,3300
Romesh,Bresenham,F,603,1000053,WINCHESTER,NH,3470,S,Y,14500,0.0,0,0,0
Hee,Farrens,F,603,1000054,PITTSBURG,NH,3592,M,N,23000,0.0,0,0,0
Florence,Rivero,M,801,1000017,CENTRAL,UT,84722,S,N,17500,7.0,2475,0,0
Tareq,Press,F,907,1000053,SLEETMUTE,AK,99668,M,N,63500,0.0,0,0,0
Rattikorn,Sakagami,F,937,1000004,MOGADORE,OH,44260,S,Y,92000,3.5999541,1300,0,1300
